Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
(6 PACK) - Aloe Pura - Aloe Vera Juice Cranberry | 1000ml | 6 PACK BUNDLE,B00V6HA6ZA,Aloe Pura,38.98,42,"1,637.16","23,385",,4,4.9,27,2,2,SUPERTRADE LIMITED,Grocery,,MFN,,,25-03-2015
(6 Pack) - Blue Diamond - Almond Milk Unsweetened | 1000ml | 6 Pack Bundle,B00V6HHDB0,Blue Diamond,14.55,55,800.25,"43,264",7.51,4,4.5,196,2,0,Pearls Trading,Fresh & Chilled,Large Oversize,MFN,8.3x8.6x8.3,13.96,25-03-2015
(6 PACK) - Clipper - Organic White Tea +Peppermint | 26 Bag | 6 PACK BUNDLE,B00V6HSZHQ,Clipper,13.04,10,130.4,"90,303",4.20,3,5.0,1,3,0,Best4Deals,Drinks,Small Oversize,MFN,5.9x7.9x2.0,0.44,19-09-2012
(6 PACK) - Dragonfly Tea - Organic Mountain Honeybush Tea | 20 sachet | 6 PACK BUNDLE,B00V6I14LO,Dragonfly Tea,15.93,,0,"2,33,205",,2,4.7,6,4,0,Best4Deals,Drinks,,MFN,,,25-03-2015
(6 PACK) - Ecomil - Org Hazelnut Drink | 1000ml | 6 PACK BUNDLE,B00V6HS3YG,Ecomil,,,,"6,85,746",,1,,,3,0,,Fresh & Chilled,,MFN,,,25-03-2015
(6 Pack) - Oatly - Oatly Cream | 250ml | 6 Pack Bundle,B00V6HRU2M,OATLY,8.99,138,"1,240.62","15,304",3.06,4,4.6,275,2,-2,SuperfoodUK,Fresh & Chilled,Large Oversize,FBA,4.6x10.3x3.0,3.57,25-03-2015
(6 Pack) - Oatly - Oatly Cream | 250ml | 6 Pack Bundle,B00V6HRU2M,OATLY,8.99,138,"1,240.62","15,304",3.06,4,4.6,275,2,-2,SuperfoodUK,Fresh & Chilled,Large Oversize,FBA,4.6x10.3x3.0,3.57,25-03-2015
(6 PACK) - Provamel - Almond Unsweetened Milk | 1000ml | 6 PACK BUNDLE,B00V6HTIRC,Provamel By Alpro,24.00,0,0,0,0.00,,2.9,4,,,Superfood Market,Fresh & Chilled,,,,,25-03-2015
(6 PACK) - Rice Dream - Rice Dream Organic Original | 1000ml | 6 PACK BUNDLE,B00V6I1DQU,Dream,20.39,,0,"2,78,911",5.33,2,,,5,0,Superfood Market,Fresh & Chilled,Small Oversize,MFN,5.9x7.9x2.0,0.44,25-03-2015
(6 PACK) - Rice Dream - Rice Dream Vanilla Organic | 1000ml | 6 PACK BUNDLE,B00V6I1LYO,Dream,,,,"2,92,777",,1,5.0,2,3,0,,Fresh & Chilled,,MFN,,,16-09-2015
